Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Aaron Ramsdale,eng ENG,GK,23.0,34.0,2.0,1,2.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,2.0,26.0,3.0,Matches
Ben White,eng ENG,DF,23.0,32.0,44.0,23,30.0,8.0,6.0,28.0,45.0,62.2,17.0,42.0,24.0,18.0,42,86.0,102.0,0.0,Matches
Martin Ødegaard,no NOR,"MF,FW",22.0,30.9,49.0,21,6.0,24.0,19.0,22.0,61.0,36.1,39.0,18.0,1.0,17.0,11,60.0,11.0,1.0,Matches
Granit Xhaka,ch SUI,"MF,DF",28.0,25.9,32.0,18,16.0,12.0,4.0,16.0,41.0,39.0,25.0,21.0,6.0,15.0,21,53.0,31.0,0.0,Matches
Thomas Partey,gh GHA,MF,28.0,22.5,43.0,29,22.0,17.0,4.0,18.0,44.0,40.9,26.0,22.0,4.0,18.0,23,66.0,35.0,2.0,Matches
Kieran Tierney,sct SCO,DF,24.0,21.3,18.0,14,11.0,7.0,0.0,10.0,11.0,90.9,1.0,23.0,5.0,18.0,15,33.0,54.0,0.0,Matches
Emile Smith Rowe,eng ENG,"MF,FW",21.0,21.3,14.0,7,7.0,7.0,0.0,4.0,20.0,20.0,16.0,18.0,1.0,17.0,15,29.0,10.0,1.0,Matches
Martinelli,br BRA,"FW,MF",20.0,20.7,27.0,19,7.0,14.0,6.0,10.0,29.0,34.5,19.0,26.0,1.0,25.0,20,47.0,15.0,0.0,Matches
Alexandre Lacazette,fr FRA,FW,30.0,19.8,27.0,10,8.0,13.0,6.0,7.0,21.0,33.3,14.0,12.0,1.0,11.0,5,32.0,6.0,0.0,Matches
Takehiro Tomiyasu,jp JPN,DF,22.0,18.7,35.0,17,19.0,13.0,3.0,21.0,32.0,65.6,11.0,22.0,3.0,19.0,24,59.0,64.0,2.0,Matches
Cédric Soares,pt POR,DF,29.0,16.5,38.0,26,23.0,9.0,6.0,16.0,25.0,64.0,9.0,18.0,7.0,11.0,16,54.0,31.0,1.0,Matches
Nuno Tavares,pt POR,DF,21.0,13.1,21.0,14,10.0,7.0,4.0,8.0,18.0,44.4,10.0,15.0,5.0,10.0,9,30.0,33.0,1.0,Matches
Albert Sambi Lokonga,be BEL,MF,21.0,12.6,22.0,18,11.0,9.0,2.0,12.0,14.0,85.7,2.0,12.0,7.0,5.0,13,35.0,12.0,4.0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,32.0,11.5,11.0,5,6.0,4.0,1.0,3.0,10.0,30.0,7.0,12.0,1.0,11.0,0,11.0,4.0,0.0,Matches
Rob Holding,eng ENG,DF,25.0,9.4,13.0,9,11.0,1.0,1.0,5.0,6.0,83.3,1.0,23.0,18.0,5.0,10,23.0,42.0,1.0,Matches
Eddie Nketiah,eng ENG,FW,22.0,9.3,9.0,4,1.0,4.0,4.0,1.0,4.0,25.0,3.0,9.0,2.0,7.0,4,13.0,5.0,0.0,Matches
Mohamed Elneny,eg EGY,MF,29.0,9.0,16.0,8,10.0,5.0,1.0,7.0,12.0,58.3,5.0,7.0,1.0,6.0,14,30.0,13.0,0.0,Matches
Nicolas Pépé,ci CIV,"FW,MF",26.0,7.7,8.0,5,3.0,5.0,0.0,3.0,9.0,33.3,6.0,9.0,1.0,8.0,8,16.0,2.0,0.0,Matches
Bernd Leno,de GER,GK,29.0,4.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Matches
